company,data_point,scope,report_field,page,source
Reddy,No Of Subscribed Equity Shares Fully Paid,Consolidated,Subscribed and fully paid-up,196,page-verified
Reddy,No Of Paid up Equity Shares,Standalone,Closing number of equity shares/share capital**,143,pipeline
Reddy,No Of Paid up Equity Shares,Consolidated,Subscribed and fully paid-up**,196,pipeline
Reddy,Number of shares outstanding at beginning of period,Standalone,Note 2.9 - Opening number of equity shares,143,page-verified
Reddy,Number of shares outstanding at beginning of period,Consolidated,Opening number of equity shares/share capital (face value of ` 5 each),196,pipeline
Reddy,No Of Shares Increase Towards Stock Split,Standalone,Note 2.9 - Increase in outstanding shares on account of stock split,143,page-verified
Reddy,No Of Shares Increase Towards Stock Split,Consolidated,Add: Increase in outstanding shares on account of stock split**,196,pipeline
Reddy,No Of Shares bought back or treasury shares,Standalone,Treasury shares,143,pipeline
Reddy,No Of Shares bought back or treasury shares,Consolidated,Treasury shares,196,pipeline
Reddy,Equity attributable to the equity holders of the parent,Consolidated,Equity attributable to equity shareholders of parent company,176,pipeline
Reddy,Share Depreciation Joint ventures,Consolidated,,,Not disclosed
Reddy,Total Power & Fuel Expenses,Standalone,Power and fuel (Refer note 2.21),148,pipeline
Reddy,Total Power & Fuel Expenses,Consolidated,Power and fuel,203,pipeline
Reddy,Consumption Of Stores And Spare Parts,Standalone,,,Not disclosed
Reddy,Consumption Of Stores And Spare Parts,Consolidated,,,Not disclosed
Reddy,Brokerage/Commission To Agents,Standalone,,,Not disclosed
Reddy,Brokerage/Commission To Agents,Consolidated,,,Not disclosed
Reddy,Carriage Outwards,Standalone,Carriage outward,148,pipeline
Reddy,Carriage Outwards,Consolidated,Carriage outward,203,pipeline
Reddy,Legal & Professional Charges,Standalone,Legal and professional,148,pipeline
Reddy,Legal & Professional Charges,Consolidated,Legal and professional,203,pipeline
Reddy,Payments To Auditor,Standalone,Other expenses - Auditors' remuneration,149,page-verified
Reddy,Payments To Auditor,Consolidated,Other expenses - Auditors' remuneration,203,page-verified
Reddy,Payment for reimbursement of expenses,Standalone,Reimbursement of out of pocket expenses,149,pipeline
Reddy,Payment for reimbursement of expenses,Consolidated,Reimbursement of out of pocket expenses,204,pipeline
Reddy,Donations Subscriptions,Standalone,Donations (Refer note (1) below),149,pipeline
Reddy,Donations Subscriptions,Consolidated,Donations,203,pipeline
Reddy,CSR Expenditure,Standalone,Corporate Social Responsibility (Refer note (2) below),149,pipeline
Reddy,CSR Expenditure,Consolidated,Corporate social responsibility(1),203,pipeline
Reddy,Impairment loss on financial assets loans and advances,Standalone,Allowance for credit losses (on trade receivables and other advances),141,pipeline
Reddy,Impairment loss on financial assets loans and advances,Consolidated,"Provision made during the year, net of reversals",194,pipeline
Reddy,Provision Bad Doubtful Loans Advances,Standalone,"Allowance for doubtful advances, net",128,pipeline
Reddy,Provision Bad Doubtful Loans Advances,Consolidated,"Provision made during the year, net of reversals",203,pipeline
Reddy,Bad Debts Advances Written Off,Standalone,,,Not disclosed
Reddy,Bad Debts Advances Written Off,Consolidated,,,Not disclosed
Reddy,Interest Expense Borrowings,Standalone,Finance costs - Interest on other borrowings,148,page-verified
Reddy,Interest Expense Borrowings,Consolidated,Finance costs - Interest on other borrowings,176,page-verified
Reddy,"Total Changes In Inventories Of Finished Goods, Work-In-Progress And Stock-In-Trade",Standalone,"Changes in inventories of finished goods, work-in-progress and stock-in-trade",126,pipeline
Reddy,"Total Changes In Inventories Of Finished Goods, Work-In-Progress And Stock-In-Trade",Consolidated,"Changes in inventories of finished goods, work-in-progress and stock-in-trade",176,pipeline
Reddy,Deferred Tax Assets (Net)_Deferred tax liabilities_Accumulated Depreciation,Standalone,,,Not disclosed
Reddy,Deferred Tax Assets (Net)_Deferred tax liabilities_Accumulated Depreciation,Consolidated,"Property, plant and equipment",217,pipeline
Reddy,Deferred Tax Liability (Net)_Deferred Tax Assets_Leave Encashment,Standalone,,,Not disclosed
Reddy,Deferred Tax Liability (Net)_Deferred Tax Assets_Leave Encashment,Consolidated,,,Not disclosed
ITC,Share Premium,Standalone,Securities Premium,160,pipeline
ITC,Share Premium,Consolidated,Securities Premium,254,pipeline
ITC,Hedging Reserve,Standalone,Effective portion of Cash Flow Hedges,226,pipeline
ITC,Hedging Reserve,Consolidated,Effective portion of Cash Flow Hedges,333,pipeline
ITC,Non Current Investments_Unquoted Debentures/Bonds,Standalone,,,Not disclosed
ITC,Non Current Investments_Unquoted Debentures/Bonds,Consolidated,,,Not disclosed
ITC,Non Current Investments_Joint Venture/Partnerships,Standalone,Maharaja Heritage Resorts Limited^,176,pipeline
ITC,Non Current Investments_Joint Venture/Partnerships,Consolidated,Investment in JV (ITC Filtrona Limited etc.),256,page-verified
ITC,Gross Carrying Value_Furnitures & Fixtures,Standalone,Furniture and Fixtures,172,pipeline
ITC,Gross Carrying Value_Furnitures & Fixtures,Consolidated,Furniture and Fixtures,268,pipeline
ITC,Gross Carrying Value_Office Equipments,Standalone,Office Equipment,172,pipeline
ITC,Gross Carrying Value_Office Equipments,Consolidated,Office Equipment,268,pipeline
ITC,Accumulated Depreciation_Furnitures & Fixtures,Standalone,Furniture and Fixtures,173,pipeline
ITC,Accumulated Depreciation_Furnitures & Fixtures,Consolidated,Furniture and Fixtures,269,pipeline
ITC,Accumulated Depreciation_Office Equipments,Standalone,Office Equipment,173,pipeline
ITC,Accumulated Depreciation_Office Equipments,Consolidated,Office Equipment,269,pipeline
ITC,Other CWIP,Standalone,,,Not disclosed
ITC,Other CWIP,Consolidated,,,Not disclosed
ITC,Gross Investment Property,Standalone,3C. Investment Property 3,172,pipeline
ITC,Gross Investment Property,Consolidated,3C. Investment Property 3,268,pipeline
ITC,Loss On Disposal Of Fixed Asset,Standalone,"(Gain) / Loss on sale of property, plant and equipment - Net",200,pipeline
ITC,Loss On Disposal Of Fixed Asset,Consolidated,"(Gain) / Loss on sale of property, plant and equipment - Net",297,pipeline
ITC,Fixed Assets Written Off,Standalone,,,Not disclosed
ITC,Fixed Assets Written Off,Consolidated,,,Not disclosed
ITC,Sundry Creditors,Standalone,Trade payables,224,pipeline
ITC,Sundry Creditors,Consolidated,Note 21 Trade Payables (Current) - total outstanding dues,252,page-verified
ITC,Noncurrent Borrowings_Unsecured Loans_Loans and advances from others,Standalone,,,Not disclosed
ITC,Noncurrent Borrowings_Unsecured Loans_Loans and advances from others,Consolidated,,,Not disclosed
ITC,"Noncurrent Borrowings_Secured Loans_Deferred payment for acquisition of property, plant and equipment",Standalone,,,Not disclosed
ITC,"Noncurrent Borrowings_Secured Loans_Deferred payment for acquisition of property, plant and equipment",Consolidated,,,Not disclosed
ITC,Current Borrowings_Unsecured Loans_Subordinated debts,Standalone,,,Not disclosed
ITC,Current Borrowings_Unsecured Loans_Subordinated debts,Consolidated,,,Not disclosed
ITC,Other Noncurrent Liabilities_Other Long Term Liabilities,Standalone,,,Not disclosed
ITC,Other Noncurrent Liabilities_Other Long Term Liabilities,Consolidated,Other non-current liabilities,252,pipeline
ITC,Other Noncurrent Liabilities_Total Long Term Liabilities,Standalone,,,Not disclosed
ITC,Other Noncurrent Liabilities_Total Long Term Liabilities,Consolidated,Other non-current liabilities,252,pipeline
ITC,Other Current Liabilities_Revenue received in advance,Standalone,,,Not disclosed
ITC,Other Current Liabilities_Revenue received in advance,Consolidated,Note 20 - Advances received from customers (* includes revenue received in advance),292,page-verified
ITC,Other Current Liabilities_Accrued Salary Payable,Standalone,,,Not disclosed
ITC,Other Current Liabilities_Accrued Salary Payable,Consolidated,,,Not disclosed
ITC,Other Current Liabilities_Employees Stock Options Outstanding,Standalone,,,Not disclosed
ITC,Other Current Liabilities_Employees Stock Options Outstanding,Consolidated,Consolidated SOCIE - Share Options Outstanding Account (closing),254,page-verified
ITC,Short Term Loans And Advances_Other Deposit Assets,Standalone,Security Deposits,158,pipeline
ITC,Short Term Loans And Advances_Other Deposit Assets,Consolidated,Security Deposits – With Statutory Authorities / – Others,325,pipeline
ITC,Short Term Loans And Advances_Advances to related parties,Standalone,Advances to related parties (Refer Note 31),221,pipeline
ITC,Short Term Loans And Advances_Advances to related parties,Consolidated,Advances to related parties (Refer Note 32),280,pipeline
ITC,Short Term Loans And Advances_Allowance for bad and doubtful loans,Standalone,Closing Balance,227,pipeline
ITC,Short Term Loans And Advances_Allowance for bad and doubtful loans,Consolidated,Closing Balance,335,pipeline
ITC,Other Current Assets_Advances to related parties,Standalone,Advances to related parties (Refer Note 31),183,pipeline
ITC,Other Current Assets_Advances to related parties,Consolidated,Advances to related parties (Refer Note 32),280,pipeline
ITC,Other Current Assets_Advances given suppliers,Standalone,,,Not disclosed
ITC,Other Current Assets_Advances given suppliers,Consolidated,,,Not disclosed
ITC,Other Current Assets_Export incentives receivables,Standalone,,,Not disclosed
ITC,Other Current Assets_Export incentives receivables,Consolidated,,,Not disclosed
ITC,Other Current Assets_Less : Doubtful Advances,Standalone,,,Not disclosed
ITC,Other Current Assets_Less : Doubtful Advances,Consolidated,,,Not disclosed
ITC,Authorised Equity Share Capital,Standalone,Authorised Ordinary Shares of ` 1.00 each,191,pipeline
ITC,Authorised Equity Share Capital,Consolidated,Authorised Ordinary Shares of ` 1.00 each,289,pipeline
ITC,Equity Issued,Standalone,Issued and Subscribed,191,pipeline
ITC,Equity Issued,Consolidated,Issued and Subscribed,289,pipeline
ITC,Equity Subscribed fully paid,Standalone,"Issued and Subscribed Ordinary Shares of Re 1.00 each, fully paid",191,page-verified
ITC,Equity Subscribed fully paid,Consolidated,"Issued and Subscribed Ordinary Shares of Re 1.00 each, fully paid",304,page-verified
ITC,Equity Forfeited,Standalone,,,Not disclosed
ITC,Equity Forfeited,Consolidated,,,Not disclosed
ITC,Equity Paid Up,Standalone,Equity Share capital,160,pipeline
ITC,Equity Paid Up,Consolidated,"Issued and Subscribed Ordinary Shares of ` 1.00 each, fully paid",254,pipeline
ITC,Face Value of Share (in Rs),Standalone,Ordinary Shares of ` 1.00 each,191,pipeline
ITC,Face Value of Share (in Rs),Consolidated,par value of ` 1.00 per share,289,pipeline
ITC,No Of Authorised Equity Shares,Standalone,Authorised Ordinary Shares of ` 1.00 each,191,pipeline
ITC,No Of Authorised Equity Shares,Consolidated,Ordinary Shares of ` 1.00 each,289,pipeline
ITC,No Of Issued Equity Shares,Standalone,"Issued and Subscribed Ordinary Shares of ` 1.00 each, fully paid",191,pipeline
ITC,No Of Issued Equity Shares,Consolidated,"Issued and Subscribed Ordinary Shares of ` 1.00 each, fully paid",289,pipeline
ITC,No Of Subscribed Equity Shares Fully Paid,Standalone,Issued and Subscribed Ordinary Shares (no. of shares),191,page-verified
ITC,No Of Subscribed Equity Shares Fully Paid,Consolidated,Issued and Subscribed Ordinary Shares (no. of shares),289,page-verified
ITC,No Of Paid up Equity Shares,Standalone,"Ordinary Shares of ` 1.00 each, fully paid",191,pipeline
ITC,No Of Paid up Equity Shares,Consolidated,"Ordinary Shares of ` 1.00 each, fully paid",289,pipeline
ITC,Number of shares outstanding at beginning of period,Standalone,As at beginning of the year (share reconciliation),191,page-verified
ITC,Number of shares outstanding at beginning of period,Consolidated,As at beginning of the year,289,page-verified
ITC,No Of Shares Increase Towards Stock Split,Standalone,,,Not disclosed
ITC,No Of Shares Increase Towards Stock Split,Consolidated,,,Not disclosed
ITC,No Of Shares bought back or treasury shares,Standalone,,,Not disclosed
ITC,No Of Shares bought back or treasury shares,Consolidated,,,Not disclosed
ITC,Equity attributable to the equity holders of the parent,Consolidated,Attributable to owners of the parent,252,pipeline
ITC,Share Depreciation Joint ventures,Consolidated,,,Not disclosed
ITC,Total Power & Fuel Expenses,Standalone,Power and fuel,200,pipeline
ITC,Total Power & Fuel Expenses,Consolidated,Power and fuel,297,pipeline
ITC,Consumption Of Stores And Spare Parts,Standalone,Consumption of stores and spare parts,200,pipeline
ITC,Consumption Of Stores And Spare Parts,Consolidated,Consumption of stores and spare parts,297,pipeline
ITC,Brokerage/Commission To Agents,Standalone,,,Not disclosed
ITC,Brokerage/Commission To Agents,Consolidated,,,Not disclosed
ITC,Carriage Outwards,Standalone,Outward freight and handling charges,200,pipeline
ITC,Carriage Outwards,Consolidated,Outward freight and handling charges,297,pipeline
ITC,Legal & Professional Charges,Standalone,Legal and professional fees,200,pipeline
ITC,Legal & Professional Charges,Consolidated,Legal and professional fees,297,pipeline
ITC,Payments To Auditor,Standalone,Note 27 - Auditors' remuneration and expenses (Audit 3.80 + Tax audit 0.78 + ...),200,page-verified
ITC,Payments To Auditor,Consolidated,,,Not disclosed
ITC,Payment for reimbursement of expenses,Standalone,Reimbursement of expenses,200,pipeline
ITC,Payment for reimbursement of expenses,Consolidated,Expenses Reimbursed,328,pipeline
ITC,Donations Subscriptions,Standalone,,,Not disclosed
ITC,Donations Subscriptions,Consolidated,,,Not disclosed
ITC,CSR Expenditure,Standalone,Note 27 Other expenses - Corporate Social Responsibility (P&L line; note 29(ii) 'incurred' = 461.50),200,page-verified
ITC,CSR Expenditure,Consolidated,Expenditure incurred during the year,322,pipeline
ITC,Impairment loss on financial assets loans and advances,Standalone,,,Not disclosed
ITC,Impairment loss on financial assets loans and advances,Consolidated,,,Not disclosed
ITC,Provision Bad Doubtful Loans Advances,Standalone,,,Not disclosed
ITC,Provision Bad Doubtful Loans Advances,Consolidated,,,Not disclosed
ITC,Bad Debts Advances Written Off,Standalone,,,Not disclosed
ITC,Bad Debts Advances Written Off,Consolidated,,,Not disclosed
ITC,Interest Expense Borrowings,Standalone,,,Not disclosed
ITC,Interest Expense Borrowings,Consolidated,,,Not disclosed
ITC,"Total Changes In Inventories Of Finished Goods, Work-In-Progress And Stock-In-Trade",Standalone,"Changes in inventories of finished goods, Stock-in-Trade, work-in-progress and intermediates",159,pipeline
ITC,"Total Changes In Inventories Of Finished Goods, Work-In-Progress And Stock-In-Trade",Consolidated,"Changes in inventories of finished goods, Stock-in-Trade, work-in-progress, intermediates and Biological Assets",253,pipeline
ITC,Deferred Tax Assets (Net)_Deferred tax liabilities_Accumulated Depreciation,Standalone,,,Not disclosed
ITC,Deferred Tax Assets (Net)_Deferred tax liabilities_Accumulated Depreciation,Consolidated,"On fiscal allowances on property, plant and equipment, investment property etc.",279,pipeline
ITC,Deferred Tax Liability (Net)_Deferred Tax Assets_Leave Encashment,Standalone,,,Not disclosed
ITC,Deferred Tax Liability (Net)_Deferred Tax Assets_Leave Encashment,Consolidated,,,Not disclosed
Infosys,Share Premium,Standalone,Securities premium,214,pipeline
Infosys,Share Premium,Consolidated,Securities premium,293,pipeline
Infosys,Hedging Reserve,Standalone,,,Not disclosed
Infosys,Hedging Reserve,Consolidated,SOCIE - Effective portion of cash flow hedges (closing),292,page-verified
Infosys,Non Current Investments_Unquoted Debentures/Bonds,Standalone,Non-convertible debentures,226,pipeline
Infosys,Non Current Investments_Unquoted Debentures/Bonds,Consolidated,,,Not disclosed
Infosys,Non Current Investments_Joint Venture/Partnerships,Standalone,,,Not disclosed
Infosys,Non Current Investments_Joint Venture/Partnerships,Consolidated,,,Not disclosed
Infosys,Gross Carrying Value_Furnitures & Fixtures,Standalone,Note 2.2 PP&E - Furniture and fixtures - Gross carrying value,221,page-verified
Infosys,Gross Carrying Value_Furnitures & Fixtures,Consolidated,Note 2.2 PP&E - Furniture and fixtures - Gross carrying value,302,page-verified
Infosys,Gross Carrying Value_Office Equipments,Standalone,Note 2.2 PP&E - Office equipment - Gross carrying value,221,page-verified
Infosys,Gross Carrying Value_Office Equipments,Consolidated,"Note 2.2 PP&E - Office equipment - Gross carrying value as at Mar 31, 2026",302,page-verified
Infosys,Accumulated Depreciation_Furnitures & Fixtures,Standalone,Note 2.2 PP&E - Furniture and fixtures - Accumulated depreciation,221,page-verified
Infosys,Accumulated Depreciation_Furnitures & Fixtures,Consolidated,Note 2.2 PP&E - Furniture and fixtures - Accumulated depreciation,302,page-verified
Infosys,Accumulated Depreciation_Office Equipments,Standalone,Note 2.2 PP&E - Office equipment - Accumulated depreciation,221,page-verified
Infosys,Accumulated Depreciation_Office Equipments,Consolidated,"Note 2.2 PP&E - Office equipment - Accumulated depreciation as at Mar 31, 2026",302,page-verified
Infosys,Other CWIP,Standalone,,,Not disclosed
Infosys,Other CWIP,Consolidated,,,Not disclosed
Infosys,Gross Investment Property,Standalone,,,Not disclosed
Infosys,Gross Investment Property,Consolidated,,,Not disclosed
Infosys,Loss On Disposal Of Fixed Asset,Standalone,,,Not disclosed
Infosys,Loss On Disposal Of Fixed Asset,Consolidated,,,Not disclosed
Infosys,Fixed Assets Written Off,Standalone,,,Not disclosed
Infosys,Fixed Assets Written Off,Consolidated,,,Not disclosed
Infosys,Sundry Creditors,Standalone,Trade payables,235,pipeline
Infosys,Sundry Creditors,Consolidated,Total trade payables,328,pipeline
Infosys,Noncurrent Borrowings_Unsecured Loans_Loans and advances from others,Standalone,,,Not disclosed
Infosys,Noncurrent Borrowings_Unsecured Loans_Loans and advances from others,Consolidated,,,Not disclosed
Infosys,"Noncurrent Borrowings_Secured Loans_Deferred payment for acquisition of property, plant and equipment",Standalone,,,Not disclosed
Infosys,"Noncurrent Borrowings_Secured Loans_Deferred payment for acquisition of property, plant and equipment",Consolidated,,,Not disclosed
Infosys,Current Borrowings_Unsecured Loans_Subordinated debts,Standalone,,,Not disclosed
Infosys,Current Borrowings_Unsecured Loans_Subordinated debts,Consolidated,,,Not disclosed
Infosys,Other Noncurrent Liabilities_Other Long Term Liabilities,Standalone,,,Not disclosed
Infosys,Other Noncurrent Liabilities_Other Long Term Liabilities,Consolidated,,,Not disclosed
Infosys,Other Noncurrent Liabilities_Total Long Term Liabilities,Standalone,,,Not disclosed
Infosys,Other Noncurrent Liabilities_Total Long Term Liabilities,Consolidated,Other non-current liabilities,287,pipeline
Infosys,Other Current Liabilities_Revenue received in advance,Standalone,,,Not disclosed
Infosys,Other Current Liabilities_Revenue received in advance,Consolidated,,,Not disclosed
Infosys,Other Current Liabilities_Accrued Salary Payable,Standalone,Accrued compensation to employees (1),248,pipeline
Infosys,Other Current Liabilities_Accrued Salary Payable,Consolidated,Accrued compensation to employees(1),328,pipeline
Infosys,Other Current Liabilities_Employees Stock Options Outstanding,Standalone,,,Not disclosed
Infosys,Other Current Liabilities_Employees Stock Options Outstanding,Consolidated,,,Not disclosed
Infosys,Short Term Loans And Advances_Other Deposit Assets,Standalone,Security deposits(1),231,pipeline
Infosys,Short Term Loans And Advances_Other Deposit Assets,Consolidated,Security deposits(1),310,pipeline
Infosys,Short Term Loans And Advances_Advances to related parties,Standalone,,,Not disclosed
Infosys,Short Term Loans And Advances_Advances to related parties,Consolidated,,,Not disclosed
Infosys,Short Term Loans And Advances_Allowance for bad and doubtful loans,Standalone,,,Not disclosed
Infosys,Short Term Loans And Advances_Allowance for bad and doubtful loans,Consolidated,,,Not disclosed
Infosys,Other Current Assets_Advances to related parties,Standalone,,,Not disclosed
Infosys,Other Current Assets_Advances to related parties,Consolidated,,,Not disclosed
Infosys,Other Current Assets_Advances given suppliers,Standalone,,,Not disclosed
Infosys,Other Current Assets_Advances given suppliers,Consolidated,Payment to vendors for supply of goods,311,pipeline
Infosys,Other Current Assets_Export incentives receivables,Standalone,,,Not disclosed
Infosys,Other Current Assets_Export incentives receivables,Consolidated,,,Not disclosed
Infosys,Other Current Assets_Less : Doubtful Advances,Standalone,,,Not disclosed
Infosys,Other Current Assets_Less : Doubtful Advances,Consolidated,,,Not disclosed
Infosys,Authorised Equity Share Capital,Standalone,Note 2.12.1 - Authorized Equity shares (Rs crore),243,page-verified
Infosys,Authorised Equity Share Capital,Consolidated,Authorized share capital,243,page-verified
Infosys,Equity Issued,Standalone,"Issued, Subscribed and Paid-Up",243,pipeline
Infosys,Equity Issued,Consolidated,"Issued, subscribed and paid-up",322,pipeline
Infosys,Equity Subscribed fully paid,Standalone,"Issued, Subscribed and Paid-Up / Equity shares, `5/- par value(1)",243,pipeline
Infosys,Equity Subscribed fully paid,Consolidated,"Issued, subscribed and paid-up",322,pipeline
Infosys,Equity Forfeited,Standalone,Forfeited shares amounted to,243,pipeline
Infosys,Equity Forfeited,Consolidated,Forfeited shares,322,pipeline
Infosys,Equity Paid Up,Standalone,"Equity shares, `5/- par value(1)",243,pipeline
Infosys,Equity Paid Up,Consolidated,"Equity shares, `5 par value(1)",322,pipeline
Infosys,Face Value of Share (in Rs),Standalone,"Equity shares, Rs 5 par value",243,page-verified
Infosys,Face Value of Share (in Rs),Consolidated,"Equity shares, `5 par value",322,pipeline
Infosys,No Of Authorised Equity Shares,Standalone,"Authorized Equity shares, `5/- par value 4,80,00,00,000 (4,80,00,00,000) equity shares",243,pipeline
Infosys,No Of Authorised Equity Shares,Consolidated,"480,00,00,000 (480,00,00,000) equity shares",322,pipeline
Infosys,No Of Issued Equity Shares,Standalone,As at the end of the period,244,pipeline
Infosys,No Of Issued Equity Shares,Consolidated,As at the end of the year,324,pipeline
Infosys,No Of Subscribed Equity Shares Fully Paid,Standalone,equity shares fully paid-up,243,pipeline
Infosys,No Of Subscribed Equity Shares Fully Paid,Consolidated,"404,69,40,812 (414,36,07,528) equity shares fully paid-up(2)",322,pipeline
Infosys,No Of Paid up Equity Shares,Standalone,As at the end of the period,244,pipeline
Infosys,No Of Paid up Equity Shares,Consolidated,As at the end of the year,324,pipeline
Infosys,Number of shares outstanding at beginning of period,Standalone,As at the beginning of the period,244,pipeline
Infosys,Number of shares outstanding at beginning of period,Consolidated,As at the beginning of the year,324,pipeline
Infosys,No Of Shares Increase Towards Stock Split,Standalone,,,Not disclosed
Infosys,No Of Shares Increase Towards Stock Split,Consolidated,,,Not disclosed
Infosys,No Of Shares bought back or treasury shares,Standalone,Less: Shares bought back,244,pipeline
Infosys,No Of Shares bought back or treasury shares,Consolidated,Less: Shares bought back,324,pipeline
Infosys,Equity attributable to the equity holders of the parent,Consolidated,Total equity attributable to equity holders of the Company,287,pipeline
Infosys,Share Depreciation Joint ventures,Consolidated,,,Not disclosed
Infosys,Brokerage/Commission To Agents,Standalone,,,Not disclosed
Infosys,Brokerage/Commission To Agents,Consolidated,,,Not disclosed
Infosys,Carriage Outwards,Standalone,,,Not disclosed
Infosys,Carriage Outwards,Consolidated,,,Not disclosed
Infosys,Legal & Professional Charges,Standalone,,,Not disclosed
Infosys,Legal & Professional Charges,Consolidated,Consultancy and professional charges,288,pipeline
Infosys,Payments To Auditor,Standalone,Statutory audit fees,257,pipeline
Infosys,Payments To Auditor,Consolidated,,,Not disclosed
Infosys,Payment for reimbursement of expenses,Standalone,,,Not disclosed
Infosys,Payment for reimbursement of expenses,Consolidated,,,Not disclosed
Infosys,Donations Subscriptions,Standalone,,,Not disclosed
Infosys,Donations Subscriptions,Consolidated,,,Not disclosed
Infosys,CSR Expenditure,Standalone,Note 2.20 - Contributions towards Corporate Social Responsibility,257,page-verified
Infosys,CSR Expenditure,Consolidated,Contributions towards Corporate Social Responsibility,337,pipeline
Infosys,Impairment loss on financial assets loans and advances,Standalone,Impairment loss recognized / (reversed) under expected credit loss model,257,pipeline
Infosys,Impairment loss on financial assets loans and advances,Consolidated,Impairment loss recognized / (reversed) under expected credit loss model,313,pipeline
Infosys,Provision Bad Doubtful Loans Advances,Standalone,,,Not disclosed
Infosys,Provision Bad Doubtful Loans Advances,Consolidated,,,Not disclosed
Infosys,Bad Debts Advances Written Off,Standalone,,,Not disclosed
Infosys,Bad Debts Advances Written Off,Consolidated,,,Not disclosed
Infosys,Interest Expense Borrowings,Standalone,,,Not disclosed
Infosys,Interest Expense Borrowings,Consolidated,,,Not disclosed
Infosys,"Total Changes In Inventories Of Finished Goods, Work-In-Progress And Stock-In-Trade",Standalone,,,Not disclosed
Infosys,"Total Changes In Inventories Of Finished Goods, Work-In-Progress And Stock-In-Trade",Consolidated,,,Not disclosed
Infosys,Deferred Tax Assets (Net)_Deferred tax liabilities_Accumulated Depreciation,Standalone,"Property, plant and equipment",252,pipeline
Infosys,Deferred Tax Assets (Net)_Deferred tax liabilities_Accumulated Depreciation,Consolidated,,,Not disclosed
Infosys,Deferred Tax Liability (Net)_Deferred Tax Assets_Leave Encashment,Standalone,Compensated absences,252,pipeline
Infosys,Deferred Tax Liability (Net)_Deferred Tax Assets_Leave Encashment,Consolidated,Compensated absences,332,pipeline
Adani,Share Premium,Standalone,22.2 SECURITIES PREMIUM,251,pipeline
Adani,Share Premium,Consolidated,22.2 Securities Premium,315,pipeline
Adani,Hedging Reserve,Standalone,,,Not disclosed
Adani,Hedging Reserve,Consolidated,22.8 Cash Flow Hedge Reserve,316,pipeline
Adani,Non Current Investments_Unquoted Debentures/Bonds,Standalone,Compulsory Convertible Debentures of Ahmedabad International Airport Ltd.,244,pipeline
Adani,Non Current Investments_Unquoted Debentures/Bonds,Consolidated,III. Unquoted Investment in Debentures of Jointly Controlled Entity,308,pipeline
Adani,Non Current Investments_Joint Venture/Partnerships,Standalone,,,Not disclosed
Adani,Non Current Investments_Joint Venture/Partnerships,Consolidated,Consolidated BS - Investments accounted using Equity Method,283,page-verified
Adani,Gross Carrying Value_Furnitures & Fixtures,Standalone,Furniture & Fixture,240,pipeline
Adani,Gross Carrying Value_Furnitures & Fixtures,Consolidated,Note 3 PP&E - Furniture & Fixture - Closing Gross Carrying Value,304,page-verified
Adani,Gross Carrying Value_Office Equipments,Standalone,Office Equipment,240,pipeline
Adani,Gross Carrying Value_Office Equipments,Consolidated,Note 3 PP&E - Office Equipment - Closing Gross Carrying Value,304,page-verified
Adani,Accumulated Depreciation_Furnitures & Fixtures,Standalone,Furniture & Fixture,240,pipeline
Adani,Accumulated Depreciation_Furnitures & Fixtures,Consolidated,Note 3 PP&E - Furniture & Fixture - Closing Accumulated Depreciation,304,page-verified
Adani,Accumulated Depreciation_Office Equipments,Standalone,Office Equipment,240,pipeline
Adani,Accumulated Depreciation_Office Equipments,Consolidated,Note 3 PP&E - Office Equipment - Closing Accumulated Depreciation,304,page-verified
Adani,Other CWIP,Standalone,,,Not disclosed
Adani,Other CWIP,Consolidated,,,Not disclosed
Adani,Gross Investment Property,Standalone,Closing Balance,241,pipeline
Adani,Gross Investment Property,Consolidated,Balance as at the end of the year,307,pipeline
Adani,Loss On Disposal Of Fixed Asset,Standalone,,,Not disclosed
Adani,Loss On Disposal Of Fixed Asset,Consolidated,"Loss on Sale of Property, Plant and Equipments (net)",327,pipeline
Adani,Fixed Assets Written Off,Standalone,,,Not disclosed
Adani,Fixed Assets Written Off,Consolidated,,,Not disclosed
Adani,Sundry Creditors,Standalone,Trade payables,256,pipeline
Adani,Sundry Creditors,Consolidated,Trade payables,325,pipeline
Adani,Noncurrent Borrowings_Unsecured Loans_Loans and advances from others,Standalone,,,Not disclosed
Adani,Noncurrent Borrowings_Unsecured Loans_Loans and advances from others,Consolidated,,,Not disclosed
Adani,"Noncurrent Borrowings_Secured Loans_Deferred payment for acquisition of property, plant and equipment",Standalone,,,Not disclosed
Adani,"Noncurrent Borrowings_Secured Loans_Deferred payment for acquisition of property, plant and equipment",Consolidated,,,Not disclosed
Adani,Current Borrowings_Unsecured Loans_Subordinated debts,Standalone,,,Not disclosed
Adani,Current Borrowings_Unsecured Loans_Subordinated debts,Consolidated,,,Not disclosed
Adani,Other Noncurrent Liabilities_Other Long Term Liabilities,Standalone,,,Not disclosed
Adani,Other Noncurrent Liabilities_Other Long Term Liabilities,Consolidated,Consolidated BS - Other non-current liabilities (Note 27),283,page-verified
Adani,Other Noncurrent Liabilities_Total Long Term Liabilities,Standalone,,,Not disclosed
Adani,Other Noncurrent Liabilities_Total Long Term Liabilities,Consolidated,Other Non-Current Liabilities,283,pipeline
Adani,Other Current Liabilities_Revenue received in advance,Standalone,Contract Liabilities,254,pipeline
Adani,Other Current Liabilities_Revenue received in advance,Consolidated,Contract Liabilities,326,pipeline
