company,data_point,scope,report_field,page,source
Reliance,Equity Forfeited,Standalone,,,Not disclosed
Reliance,Equity Forfeited,Consolidated,,,Not disclosed
Reliance,Equity Paid Up,Standalone,Paid Up Capital:,111,pipeline
Reliance,Equity Paid Up,Consolidated,Total,151,pipeline
Reliance,Face Value of Share (in Rs),Standalone,The Company has only one class of equity shares having face value of H 10 each.,111,pipeline
Reliance,Face Value of Share (in Rs),Consolidated,Equity Shares of H 10 each,151,pipeline
Reliance,No Of Authorised Equity Shares,Standalone,Equity Shares of H 10 each,110,pipeline
Reliance,No Of Authorised Equity Shares,Consolidated,"49,00,00,00,000 Equity Shares of H 10 each",150,pipeline
Reliance,No Of Issued Equity Shares,Standalone,Equity Shares at the end of the year,110,pipeline
Reliance,No Of Issued Equity Shares,Consolidated,Equity Shares at the end of the year,150,pipeline
Reliance,No Of Subscribed Equity Shares Fully Paid,Standalone,Equity Shares of H 10 each fully paid up,110,pipeline
Reliance,No Of Subscribed Equity Shares Fully Paid,Consolidated,Equity Shares at the end of the year,150,pipeline
Reliance,No Of Paid up Equity Shares,Standalone,Equity Shares of H 10 each fully paid up,111,pipeline
Reliance,No Of Paid up Equity Shares,Consolidated,Paid Up Capital,151,pipeline
Reliance,Number of shares outstanding at beginning of period,Standalone,Equity Shares at the beginning of the year,111,pipeline
Reliance,Number of shares outstanding at beginning of period,Consolidated,Equity Shares at the beginning of the year,151,pipeline
Reliance,No Of Shares Increase Towards Stock Split,Standalone,,,Not disclosed
Reliance,No Of Shares Increase Towards Stock Split,Consolidated,,,Not disclosed
Reliance,No Of Shares bought back or treasury shares,Standalone,,,Not disclosed
Reliance,No Of Shares bought back or treasury shares,Consolidated,,,Not disclosed
Reliance,Equity attributable to the equity holders of the parent,Consolidated,Equity attributable to Owners of the Company (B),164,pipeline
Reliance,Share Depreciation Joint ventures,Consolidated,,,Not disclosed
Reliance,Total Power & Fuel Expenses,Standalone,"Electric Power, Fuel and Water",116,pipeline
Reliance,Total Power & Fuel Expenses,Consolidated,"Electric Power, Fuel and Water",157,pipeline
Reliance,Consumption Of Stores And Spare Parts,Standalone,,,Not disclosed
Reliance,Consumption Of Stores And Spare Parts,Consolidated,,,Not disclosed
Reliance,Brokerage/Commission To Agents,Standalone,,,Not disclosed
Reliance,Brokerage/Commission To Agents,Consolidated,,,Not disclosed
Reliance,Carriage Outwards,Standalone,,,Not disclosed
Reliance,Carriage Outwards,Consolidated,,,Not disclosed
Reliance,Legal & Professional Charges,Standalone,,,Not disclosed
Reliance,Legal & Professional Charges,Consolidated,,,Not disclosed
Reliance,Payments To Auditor,Standalone,Payment to Auditors,117,pipeline
Reliance,Payments To Auditor,Consolidated,Payment to Auditors,185,pipeline
Reliance,Payment for reimbursement of expenses,Standalone,,,Not disclosed
Reliance,Payment for reimbursement of expenses,Consolidated,,,Not disclosed
Reliance,Donations Subscriptions,Standalone,Charity and Donations,117,pipeline
Reliance,Donations Subscriptions,Consolidated,Charity and Donations,157,pipeline
Reliance,CSR Expenditure,Standalone,Expenditure related to Corporate Social Responsibility,117,pipeline
Reliance,CSR Expenditure,Consolidated,Expenditure related to Corporate Social Responsibility,157,pipeline
Reliance,Impairment loss on financial assets loans and advances,Standalone,,,Not disclosed
Reliance,Impairment loss on financial assets loans and advances,Consolidated,,,Not disclosed
Reliance,Provision Bad Doubtful Loans Advances,Standalone,,,Not disclosed
Reliance,Provision Bad Doubtful Loans Advances,Consolidated,,,Not disclosed
Reliance,Bad Debts Advances Written Off,Standalone,,,Not disclosed
Reliance,Bad Debts Advances Written Off,Consolidated,,,Not disclosed
Reliance,Interest Expense Borrowings,Standalone,Interest Expenses*,116,pipeline
Reliance,Interest Expense Borrowings,Consolidated,Interest Expenses *,157,pipeline
Reliance,"Total Changes In Inventories Of Finished Goods, Work-In-Progress And Stock-In-Trade",Standalone,"Changes in Inventories of Finished Goods, Work-in-Progress and Stock-in-Trade",98,pipeline
Reliance,"Total Changes In Inventories Of Finished Goods, Work-In-Progress And Stock-In-Trade",Consolidated,"Changes in Inventories of Finished Goods, Work-in-Progress and Stock-in-Trade",140,pipeline
Reliance,Deferred Tax Assets (Net)_Deferred tax liabilities_Accumulated Depreciation,Standalone,"Property, Plant and Equipment and Intangible Assets",113,pipeline
Reliance,Deferred Tax Assets (Net)_Deferred tax liabilities_Accumulated Depreciation,Consolidated,,,Not disclosed
Reliance,Deferred Tax Liability (Net)_Deferred Tax Assets_Leave Encashment,Standalone,,,Not disclosed
Reliance,Deferred Tax Liability (Net)_Deferred Tax Assets_Leave Encashment,Consolidated,,,Not disclosed
Hindalco,Share Premium,Standalone,Securities Premium,371,pipeline
Hindalco,Share Premium,Consolidated,Securities Premium,259,pipeline
Hindalco,Hedging Reserve,Standalone,Effective portion of Cash Flow Hedge,371,pipeline
Hindalco,Hedging Reserve,Consolidated,Effective portion of cash flow hedge,259,pipeline
Hindalco,Non Current Investments_Unquoted Debentures/Bonds,Standalone,,,Not disclosed
Hindalco,Non Current Investments_Unquoted Debentures/Bonds,Consolidated,6% Convertible Promissory Note from NYPIT Inc (Everest Labs),278,page-verified
Hindalco,Non Current Investments_Joint Venture/Partnerships,Standalone,Note 5B - Investment in Associates and Joint Ventures,343,page-verified
Hindalco,Non Current Investments_Joint Venture/Partnerships,Consolidated,,,Not disclosed
Hindalco,Gross Carrying Value_Furnitures & Fixtures,Standalone,Furniture and Fixtures,348,pipeline
Hindalco,Gross Carrying Value_Furnitures & Fixtures,Consolidated,Furniture and Fixtures,268,pipeline
Hindalco,Gross Carrying Value_Office Equipments,Standalone,Office Equipment,348,pipeline
Hindalco,Gross Carrying Value_Office Equipments,Consolidated,Office Equipment,268,pipeline
Hindalco,Accumulated Depreciation_Furnitures & Fixtures,Standalone,Furniture and Fixtures,348,pipeline
Hindalco,Accumulated Depreciation_Furnitures & Fixtures,Consolidated,Furniture and Fixtures,268,pipeline
Hindalco,Accumulated Depreciation_Office Equipments,Standalone,Office Equipment,348,pipeline
Hindalco,Accumulated Depreciation_Office Equipments,Consolidated,Office Equipment,268,pipeline
Hindalco,Other CWIP,Standalone,,,Not disclosed
Hindalco,Other CWIP,Consolidated,,,Not disclosed
Hindalco,Gross Investment Property,Standalone,Total,351,pipeline
Hindalco,Gross Investment Property,Consolidated,Total,271,pipeline
Hindalco,Loss On Disposal Of Fixed Asset,Standalone,,,Not disclosed
Hindalco,Loss On Disposal Of Fixed Asset,Consolidated,Consolidated Cash Flow - (Gain)/Loss on PPE & intangibles sold/discarded (net),260,page-verified
Hindalco,Fixed Assets Written Off,Standalone,,,Not disclosed
Hindalco,Fixed Assets Written Off,Consolidated,,,Not disclosed
Hindalco,Sundry Creditors,Standalone,Trade Payables,374,pipeline
Hindalco,Sundry Creditors,Consolidated,Trade payables,299,pipeline
Hindalco,Noncurrent Borrowings_Unsecured Loans_Loans and advances from others,Standalone,,,Not disclosed
Hindalco,Noncurrent Borrowings_Unsecured Loans_Loans and advances from others,Consolidated,,,Not disclosed
Hindalco,"Noncurrent Borrowings_Secured Loans_Deferred payment for acquisition of property, plant and equipment",Standalone,,,Not disclosed
Hindalco,"Noncurrent Borrowings_Secured Loans_Deferred payment for acquisition of property, plant and equipment",Consolidated,,,Not disclosed
Hindalco,Current Borrowings_Unsecured Loans_Subordinated debts,Standalone,,,Not disclosed
Hindalco,Current Borrowings_Unsecured Loans_Subordinated debts,Consolidated,,,Not disclosed
Hindalco,Other Noncurrent Liabilities_Other Long Term Liabilities,Standalone,Standalone BS - Other Non-Current Liabilities (Note 16),343,page-verified
Hindalco,Other Noncurrent Liabilities_Other Long Term Liabilities,Consolidated,Other non-current liabilities,257,pipeline
Hindalco,Other Noncurrent Liabilities_Total Long Term Liabilities,Standalone,Other Non-Current Liabilities,343,pipeline
Hindalco,Other Noncurrent Liabilities_Total Long Term Liabilities,Consolidated,Other non-current liabilities,257,pipeline
